time_window_sec,amm_oracle,oracle_count,trade_count,oracle_trade_ratio,pool,pool_oracle_p99,pool_trade_p10
2581448,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2581452,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2581654,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2581741,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2581852,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2581861,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2581863,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2581864,BisonFi,15,0,15.0,BisonFi,10.0,0.0
2581865,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2581867,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2581869,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2581875,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2581889,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2581961,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2582236,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2582312,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2582319,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2582340,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2582435,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2544290,GoonFi,32,0,32.0,GoonFi,29.0,0.0
2544358,GoonFi,31,0,31.0,GoonFi,29.0,0.0
2544360,GoonFi,32,0,32.0,GoonFi,29.0,0.0
2544367,GoonFi,31,0,31.0,GoonFi,29.0,0.0
2544374,GoonFi,34,0,34.0,GoonFi,29.0,0.0
2544375,GoonFi,37,0,37.0,GoonFi,29.0,0.0
2544853,GoonFi,31,0,31.0,GoonFi,29.0,0.0
2545287,GoonFi,34,0,34.0,GoonFi,29.0,0.0
2545297,GoonFi,32,0,32.0,GoonFi,29.0,0.0
2545298,GoonFi,31,0,31.0,GoonFi,29.0,0.0
2545742,GoonFi,34,0,34.0,GoonFi,29.0,0.0
2545943,GoonFi,42,0,42.0,GoonFi,29.0,0.0
2545992,GoonFi,44,0,44.0,GoonFi,29.0,0.0
2546208,GoonFi,30,0,30.0,GoonFi,29.0,0.0
2546260,GoonFi,36,0,36.0,GoonFi,29.0,0.0
2546261,GoonFi,35,0,35.0,GoonFi,29.0,0.0
2546281,GoonFi,38,0,38.0,GoonFi,29.0,0.0
2546345,GoonFi,55,0,55.0,GoonFi,29.0,0.0
2546350,GoonFi,33,0,33.0,GoonFi,29.0,0.0
2546642,GoonFi,30,0,30.0,GoonFi,29.0,0.0
2546651,GoonFi,33,0,33.0,GoonFi,29.0,0.0
2546657,GoonFi,35,0,35.0,GoonFi,29.0,0.0
2546661,GoonFi,33,0,33.0,GoonFi,29.0,0.0
2546708,GoonFi,29,0,29.0,GoonFi,29.0,0.0
2546789,GoonFi,34,0,34.0,GoonFi,29.0,0.0
2546901,GoonFi,33,0,33.0,GoonFi,29.0,0.0
2546904,GoonFi,29,0,29.0,GoonFi,29.0,0.0
2546941,GoonFi,33,0,33.0,GoonFi,29.0,0.0
2546962,GoonFi,38,0,38.0,GoonFi,29.0,0.0
2546994,GoonFi,31,0,31.0,GoonFi,29.0,0.0
